43,Buy My Own Drinks,Runaway June,https://open.spotify.com/track/7IVTmZGRp264dILwTNXzjG
35,CAPO,NLE Choppa,https://open.spotify.com/track/1KjQPDJQCUuqDj3AmfSBCa
37,CIVIL WAR - Bonus,Russ,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4
7,CROWN,TOMORROW X TOGETHER,https://open.spotify.com/track/32h6yQGn4oAhZ0HRsTMX26
9,Call Me Daddy (feat. Lil Baby),PopLord,https://open.spotify.com/track/2JpaAv2AaAAStgAOijx9V5
32,Call You Mine (feat. Bebe Rexha),The Chainsmokers,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
38,Callaita,Bad Bunny,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
1,Calma - Remix,Pedro Capó,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
6,Camelot,NLE Choppa,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
49,Can I Call You Tonight?,Dayglow,https://open.spotify.com/track/5Ti99QiUdIwe0xG4gS22FL
49,Can We Kiss Forever?,Kina,https://open.spotify.com/track/1Av69kr9JitqPWo7WJLS5q
24,Can You Imagine That?,Emily Blunt,https://open.spotify.com/track/5ollDCofTmRZN0Bbhz4EDW
48,Can't Stop the Bleeding (feat. Gary Clark Jr. & Gramatik),Tom Morello,https://open.spotify.com/track/1731hlSR40kK9X67spxxdA
20,Candy,Doja Cat,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
34,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
12,Case 19 (feat. 6ix9ine),Jasiah,https://open.spotify.com/track/6OkOtIWntqERMEJrCCpN9d
39,Cash Shit (feat. DaBaby),Megan Thee Stallion,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
44,Cat & Dog,TOMORROW X TOGETHER,https://open.spotify.com/track/5cadLqAgl7Y9zX3lRWdsPK
35,Catchy Song (feat. T-Pain & That Girl Lay Lay) [From The LEGO® Movie 2: The Second Part - Original Motion Picture Soundtrack],Dillon Francis,https://open.spotify.com/track/10wWGbY2KerpoM5m5cYu48
50,Caught Up (feat. Khalid),Majid Jordan,https://open.spotify.com/track/1opARDDYaOeE1QUdwXmBGu
8,Cha Cha,Freddie Dredd,https://open.spotify.com/track/7jiiuFE5JSVXoMKov2V1fI
38,Change (with Kehlani),Arin Ray,https://open.spotify.com/track/2beHQY7DvKp9q4vwilKKRS
13,Change Ya Life,Haiti Babii,https://open.spotify.com/track/5JboK5zbbhXIN7iN9NHS8t
39,Chicken Noodle Soup (feat. Becky G),j-hope,https://open.spotify.com/track/6wyr4ReB05D9sJB1Rsmcqo
30,Chico (feat. Wiz Khalifa & Kap G),Alexcis,https://open.spotify.com/track/39cyYJtB3TMyCSedqoIjRz
11,China,Anuel AA,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
29,Choppas on Choppas (feat. NLE Choppa),Action Pack,https://open.spotify.com/track/5hMoQ4CXKaqIT8oyeC0QDx
46,Church (Take Me Back),Cochren & Co.,https://open.spotify.com/track/3vvao6zCQPVB8EGajtg9dp
27,Church (feat. EARTHGANG),Samm Henshaw,https://open.spotify.com/track/6SzbbQUOx85hxpqsesoMfx
36,Cigarettes On Patios,BabyJake,https://open.spotify.com/track/0LJDFZohBgWOMvXQw0cc9W
31,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
39,Clout (feat. Cardi B),Offset,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
11,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,https://open.spotify.com/track/1mEO3xiJqEWXYIdZalDzHR
3,Come Along,Cosmo Sheldrake,https://open.spotify.com/track/17q1nFo1UQvXiQ8TD7aI8H
24,Come Back,Brinley Addington,https://open.spotify.com/track/0v77ly79wSHmqUfiKdjysM
27,Come Thru (with Usher),Summer Walker,https://open.spotify.com/track/3TTMUI5dFcbeNSDTTDY9M8
42,Con Altura,ROSALÍA,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
17,Con Calma,Daddy Yankee,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
16,Congratulations,pewdiepie,https://open.spotify.com/track/6WaogiItGdUTm490XN4QKJ
32,Contando Lunares (feat. Cruz Cafuné),Don Patricio,https://open.spotify.com/track/6Cs7b9bu3fy5XhMwBA9Tz4
36,Coronao Now,El Alfa,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL
30,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,https://open.spotify.com/track/5WnfnSpuNEGXyEt78PBA6d
42,Cover Me Up,Morgan Wallen,https://open.spotify.com/track/47yypFbq6fu3yUvFoaf2UN
30,Cradles,Sub Urban,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
33,Crash Flow,Rae Rae,https://open.spotify.com/track/0ITwmFOuSuT13jfKErCyxw
50,Creeker,Tyler Childers,https://open.spotify.com/track/0113kB5PUEGvDHVBopCuTo
31,Crime Pays,Freddie Gibbs,https://open.spotify.com/track/4w5m4X0OZ2IslxNOgtntTN
14,Cristina (feat. Shelow Shaq),Maffio,https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore
15,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
4,Cross Off,Mark Morton,https://open.spotify.com/track/1UtLHK1KdLD1haUlY5YoSg
