Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
59,Corpus Christi,Texas,"317,863",Nueces,0.0414,162.2 sq mi,420.1 km2,"1,960/sq mi",760/km2,27.75°N 97.17°W
60,Henderson,Nevada,"317,610",Clark,0.2323,106.2 sq mi,275.1 km2,"2,991/sq mi","1,155/km2",36.00°N 115.03°W
61,Riverside,California,"314,998",Riverside,0.0366,81.2 sq mi,210.3 km2,"3,879/sq mi","1,498/km2",33.93°N 117.39°W
62,Newark,New Jersey,"311,549",Essex,0.1242,24.1 sq mi,62.4 km2,"12,927/sq mi","4,991/km2",40.72°N 74.17°W
63,Saint Paul,Minnesota,"311,527",Ramsey,0.0928,52.0 sq mi,134.7 km2,"5,991/sq mi","2,313/km2",44.94°N 93.10°W
64,Santa Ana,California,"310,227",Orange,-4.41%,27.3 sq mi,70.7 km2,"11,364/sq mi","4,388/km2",33.73°N 117.88°W
65,Cincinnati,Ohio,"309,317",Hamilton,0.0417,77.8 sq mi,201.5 km2,"3,976/sq mi","1,535/km2",39.14°N 84.50°W
66,Irvine,California,"307,670",Orange,0.4487,65.6 sq mi,169.9 km2,"4,690/sq mi","1,810/km2",33.67°N 117.77°W
67,Orlando,Florida,"307,573",Orange,0.2907,110.6 sq mi,286.5 km2,"2,781/sq mi","1,074/km2",28.41°N 81.27°W
68,Pittsburgh,Pennsylvania,"302,971",Allegheny,-0.89%,55.4 sq mi,143.5 km2,"5,469/sq mi","2,112/km2",40.43°N 79.97°W
69,St. Louis,Missouri,"301,578",St. Louis,-5.55%,61.7 sq mi,159.8 km2,"4,888/sq mi","1,887/km2",38.63°N 90.24°W
70,Greensboro,North Carolina,"299,035",Guilford,0.1089,129.6 sq mi,335.7 km2,"2,307/sq mi",891/km2,36.09°N 79.82°W
71,Jersey City,New Jersey,"292,449",Hudson,0.1811,14.7 sq mi,38.1 km2,"19,894/sq mi","7,681/km2",40.71°N 74.06°W
72,Anchorage,Alaska,"291,247",Anchorage,-0.20%,"1,706.8 sq mi","4,420.6 km2",171/sq mi,66/km2,61.17°N 149.28°W
73,Lincoln,Nebraska,"291,082",Lancaster,0.1266,97.7 sq mi,253.0 km2,"2,979/sq mi","1,150/km2",40.81°N 96.68°W
74,Plano,Texas,"285,494",Collin,0.0987,71.7 sq mi,185.7 km2,"3,982/sq mi","1,537/km2",33.05°N 96.74°W
75,Durham,North Carolina,"283,506",Durham,0.2417,112.8 sq mi,292.2 km2,"2,513/sq mi",970/km2,35.98°N 78.90°W
76,Buffalo,New York,"278,349",Erie,0.0652,40.4 sq mi,104.6 km2,"6,890/sq mi","2,660/km2",42.89°N 78.85°W
77,Chandler,Arizona,"275,987",Maricopa,0.1688,65.3 sq mi,169.1 km2,"4,226/sq mi","1,632/km2",33.28°N 111.85°W
78,Chula Vista,California,"275,487",San Diego,0.1294,49.6 sq mi,128.5 km2,"5,554/sq mi","2,144/km2",32.62°N 117.01°W
79,Toledo,Ohio,"270,871",Lucas,-5.69%,80.5 sq mi,208.5 km2,"3,365/sq mi","1,299/km2",41.66°N 83.58°W
80,Madison,Wisconsin,"269,840",Jefferson,0.1571,79.6 sq mi,206.2 km2,"3,390/sq mi","1,310/km2",43.08°N 89.42°W
81,Gilbert,Arizona,"267,918",Maricopa,0.2853,68.6 sq mi,177.7 km2,"3,906/sq mi","1,508/km2",33.31°N 111.74°W
82,Reno,Nevada,"264,165",Washoe,0.1729,108.8 sq mi,281.8 km2,"2,428/sq mi",937/km2,39.54°N 119.84°W
83,Fort Wayne,Indiana,"263,886",Allen,0.0402,110.7 sq mi,286.7 km2,"2,384/sq mi",920/km2,41.08°N 85.14°W
84,North Las Vegas,Nevada,"262,527",Clark,0.21,101.3 sq mi,262.4 km2,"2,592/sq mi","1,001/km2",36.28°N 115.09°W
85,St. Petersburg,Florida,"258,308",Pinellas,0.0553,61.8 sq mi,160.1 km2,"4,180/sq mi","1,610/km2",27.76°N 82.64°W
86,Lubbock,Texas,"257,141",Lubbock,0.1201,134.6 sq mi,348.6 km2,"1,910/sq mi",740/km2,33.56°N 101.88°W
87,Irving,Texas,"256,684",Dallas,0.1868,67.0 sq mi,173.5 km2,"3,831/sq mi","1,479/km2",32.85°N 96.97°W
88,Laredo,Texas,"255,205",Webb,0.081,106.5 sq mi,275.8 km2,"2,396/sq mi",925/km2,27.56°N 99.48°W
89,Winston–Salem,North Carolina,"249,545",Forsyth,0.0868,132.7 sq mi,343.7 km2,"1,881/sq mi",726/km2,36.10°N 80.26°W
90,Chesapeake,Virginia,"249,422",Chesapeake,0.1225,338.5 sq mi,876.7 km2,737/sq mi,285/km2,36.67°N 76.30°W
91,Glendale,Arizona,"248,325",Los Angeles,0.0953,61.6 sq mi,159.5 km2,"4,031/sq mi","1,556/km2",33.53°N 112.18°W
92,Garland,Texas,"246,018",Dallas,0.0844,57.1 sq mi,147.9 km2,"4,309/sq mi","1,664/km2",32.90°N 96.63°W
93,Scottsdale,Arizona,"241,361",Maricopa,0.1103,184.0 sq mi,476.6 km2,"1,312/sq mi",507/km2,33.68°N 111.86°W
94,Norfolk,Virginia,"238,005",Norfolk,-1.98%,53.3 sq mi,138.0 km2,"4,465/sq mi","1,724/km2",36.92°N 76.24°W
95,Boise,Idaho,"235,684",Ada,0.1459,84.0 sq mi,217.6 km2,"2,806/sq mi","1,083/km2",43.60°N 116.23°W
96,Fremont,California,"230,504",Steuben,0.0767,78.3 sq mi,202.8 km2,"2,944/sq mi","1,137/km2",37.49°N 121.94°W
97,Spokane,Washington,"228,989",Spokane,0.0961,68.8 sq mi,178.2 km2,"3,328/sq mi","1,285/km2",47.66°N 117.43°W
98,Santa Clarita,California,"228,673",Los Angeles,0.2969,70.8 sq mi,183.4 km2,"3,230/sq mi","1,250/km2",34.40°N 118.50°W
99,Baton Rouge,Louisiana,"227,470",East Baton Rouge Parish,-0.88%,86.3 sq mi,223.5 km2,"2,636/sq mi","1,018/km2",30.44°N 91.13°W
100,Richmond,Virginia,"226,610",Richmond,0.1097,59.9 sq mi,155.1 km2,"3,783/sq mi","1,461/km2",37.53°N 77.47°W
101,Hialeah,Florida,"223,109",Miami-Dade,-0.69%,21.6 sq mi,55.9 km2,"10,329/sq mi","3,988/km2",25.86°N 80.30°W
102,San Bernardino,California,"222,101",San Bernardino,0.058,62.1 sq mi,160.8 km2,"3,577/sq mi","1,381/km2",34.14°N 117.29°W
103,Tacoma,Washington,"219,346",Pierce,0.1056,49.7 sq mi,128.7 km2,"4,413/sq mi","1,704/km2",47.25°N 122.45°W
104,Modesto,California,"218,464",Stanislaus,0.086,43.0 sq mi,111.4 km2,"5,081/sq mi","1,962/km2",37.63°N 121.00°W
105,Huntsville,Alabama,"215,006",Walker,0.1938,218.1 sq mi,564.9 km2,986/sq mi,381/km2,34.69°N 86.67°W
106,Des Moines,Iowa,"214,133",Des Moines,0.0526,88.2 sq mi,228.4 km2,"2,428/sq mi",937/km2,41.57°N 93.61°W
107,Yonkers,New York,"211,569",Westchester,0.0796,18.0 sq mi,46.6 km2,"11,754/sq mi","4,538/km2",40.94°N 73.86°W
108,Rochester,New York,"211,328",Monroe,0.0036,35.8 sq mi,92.7 km2,"5,903/sq mi","2,279/km2",43.16°N 77.61°W
109,Moreno Valley,California,"208,634",Riverside,0.079,51.3 sq mi,132.9 km2,"4,067/sq mi","1,570/km2",33.92°N 117.20°W
110,Fayetteville,North Carolina,"208,501",Cumberland,0.0396,148.3 sq mi,384.1 km2,"1,406/sq mi",543/km2,35.08°N 78.97°W
