Position,"Track Name",Artist,URL
34,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
35,Project Dreams,Marshmello,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX
36,Good Grace - Live,Hillsong UNITED,https://open.spotify.com/track/2vfXvhJepsm4imsD8CRK3H
37,Hope,The Chainsmokers,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
38,High Hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
39,So Close,NOTD,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
40,Make Me Want To,Jimmie Allen,https://open.spotify.com/track/0AYbVoeF03NYhM0fvKjAuU
41,A Solas - Remix,Lunay,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
42,Saturday Nights,Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
43,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p
44,whoa (mind in awe),XXXTENTACION,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
45,Alley Oop (feat. Lil Baby),Yung Gravy,https://open.spotify.com/track/2GyHLJ238fZx2QkQO9v7nV
46,GET OFF MY D!CK,ILIRA,https://open.spotify.com/track/6BFSpfwe003HLps1y1DA7k
47,There You Are,ZAYN,https://open.spotify.com/track/155EsNGoXo7XSVF84oTPam
48,10 Freaky Girls (with 21 Savage),Metro Boomin,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
49,Bitch Lasagna,Party in Backyard,https://open.spotify.com/track/0xGl8HKFncXK7aFZRTGZsr
50,YUSO (feat. Lil Wayne & Saweetie),Kid Ink,https://open.spotify.com/track/38Vjqr7xTeIzDpclKOkzli
1,Cross Off,Mark Morton,https://open.spotify.com/track/1UtLHK1KdLD1haUlY5YoSg
2,Calma - Remix,Pedro Capó,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
3,Wow.,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,Envy Me,Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
6,Trampoline,SHAED,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
7,Thotiana,Blueface,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
8,Look Back at It,A Boogie Wit da Hoodie,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
9,Saturday Nights,Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
10,a lot,21 Savage,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
11,Wii Tennis,420 Unlovable,https://open.spotify.com/track/0q97eZcYkeHy2buhS1O5Ir
12,Nanã,Polo & Pan,https://open.spotify.com/track/0Psz3az3RIYfJpnsajBT8N
13,monster,21 Savage,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
14,Going Bad (feat. Drake),Meek Mill,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
15,A Cover Is Not the Book,Emily Blunt,https://open.spotify.com/track/4aXYjdLxgXUgFgQk23t8Tv
16,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
17,Sexual Vibe,Stephen Puth,https://open.spotify.com/track/57nU6ivxzZemOQaQK0hqEs
18,"thank u, next",Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
19,No Auto Durk,Only The Family,https://open.spotify.com/track/4VcPtoOpK3oBMDZJ9Ptp9f
20,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
21,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
22,Hope,The Chainsmokers,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
23,"Fire On Fire - From ""Watership Down""",Sam Smith,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
24,Can You Imagine That?,Emily Blunt,https://open.spotify.com/track/5ollDCofTmRZN0Bbhz4EDW
25,Space Cadet (feat. Gunna),Metro Boomin,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
26,Splashin,Rich The Kid,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
27,La Di Da,Lennon Stella,https://open.spotify.com/track/2YyvWje3cEYyqgYhNUIaBJ
28,Dancin - Krono Remix (Extended),Aaron Smith,https://open.spotify.com/track/2jYcqzT5RkJaJvdk1PxFGj
29,Adan y Eva,Paulo Londra,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
30,Falling (blackbear Remix),Trevor Daniel,https://open.spotify.com/track/59IUUAdjVbmq80Nkc3Q9Dx
31,Grip,Seeb,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
32,Sweet but Psycho,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
33,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,https://open.spotify.com/track/6fIgsZFtGXiIvxb2Y6oCc7
34,Without Me,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
35,What's Up Danger (with Black Caviar),Blackway,https://open.spotify.com/track/5zsHmE2gO3RefVsPyw2e3T
36,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
